
Name			Description
bell			bell
bongo_hi		bongo hi
bongo_low		bongo low
cajon_slap		cajon slap
cajon_thump		cajon thump
clap			hand clap
clave			clave
cowbell			cowbell
djembe_bass		djembe bass
djembe_slap		djembe slap
djembe_tone		djembe tone
esn			electric snare
fingers			finger snap
head			dununba, keneki and sangban
maraca			maraca
sn			snares
tambourine		tambourine
waterglass_hi		waterglass hi
waterglass_low		waterglass low
woodblock		woodblock
